FigureNumber,Caption,MediaFile,RelationshipId,DocumentBodyIndex,CaptionBodyIndex,CaptionDistanceElements,SizeBytes,SHA256,SourceDOCXSHA256
3.1,Figure 3.1. Overall research design block diagram.,image1.png,rId32,379,380,1,90481,62D95223BC3902451BF12B72A55AE5E770DF63AF371A441D7D043326C6FD579F,EB018BDF1100E67A3C40890A1B6C89E375403EC781D40E433206E67AA26B7B76
3.2,Figure 3.2. Overall experimental benchmarking framework.,image2.png,rId33,392,393,1,72309,22A94E81E35F3B56D93267480D8BE547B516ED2F126D325E485D1D61AE385B88,EB018BDF1100E67A3C40890A1B6C89E375403EC781D40E433206E67AA26B7B76
3.3,Figure 3.3. Django e-commerce system architecture.,image3.png,rId34,423,424,1,71649,64695DF9A5B4A2D2BE70D332E630072C431882813FF861B3C65B158831E625B2,EB018BDF1100E67A3C40890A1B6C89E375403EC781D40E433206E67AA26B7B76
3.4,Figure 3.4. E-commerce workload-scenario map.,image4.png,rId35,426,427,1,93285,6C3505A3B732CFE691BE9E03597E55F1EB9AD1E71D28A390F9AA7226931F4796,EB018BDF1100E67A3C40890A1B6C89E375403EC781D40E433206E67AA26B7B76
3.5,Figure 3.5. Database and connection-pooling architecture.,image5.png,rId36,446,447,1,82037,A64084EAAC0B95D0015A51BFD1C81CA30F6D9284414A83CA39FF5705CDA2E7E7,EB018BDF1100E67A3C40890A1B6C89E375403EC781D40E433206E67AA26B7B76
3.6,Figure 3.6. Cloud infrastructure layout in the Germany West Central (Frankfurt) Azure region.,image6.png,rId37,465,466,1,72145,DFE1B09F20D4B8587F7CF61F1350C0CEA0CF0B3BB007F81B2D1C565459CA7CB8,EB018BDF1100E67A3C40890A1B6C89E375403EC781D40E433206E67AA26B7B76
3.7,Figure 3.7. Traditional deployment architecture.,image7.png,rId38,493,494,1,59421,1A86659EC2E6908ECCD3D20F4801A576F79A2A10F117723C3B08CCC1AA7FF0D4,EB018BDF1100E67A3C40890A1B6C89E375403EC781D40E433206E67AA26B7B76
3.8,Figure 3.8. Managed container-based platform deployment architecture.,image8.png,rId39,508,509,1,54588,0AE037BC1D27AEDFB1A277C069368634075EF245883870F9478424C4283AFBE8,EB018BDF1100E67A3C40890A1B6C89E375403EC781D40E433206E67AA26B7B76
3.9,Figure 3.9. Like-for-like verification workflow.,image9.png,rId52,538,539,1,75439,D0B18DED3445A2B92DFBB234D720F6EE986CA5A35FBBA4C51061A29626CC0291,EB018BDF1100E67A3C40890A1B6C89E375403EC781D40E433206E67AA26B7B76
3.10,Figure 3.10. k6 workload scenario timeline (configured offered load; achieved request rate measured from k6 output and reported in Chapter 4).,image10.png,rId53,564,568,4,56667,943D017D3C428871B3EB9489BC065E3D8FFE68F622711857769F896517D1AFE5,EB018BDF1100E67A3C40890A1B6C89E375403EC781D40E433206E67AA26B7B76
3.11,Figure 3.11. Benchmark execution pipeline.,image11.png,rId54,593,594,1,53248,532EEE0BFAECA63C012CF81CBDD5B0A5602C702E71B9F33D3E48D69960EEDDE4,EB018BDF1100E67A3C40890A1B6C89E375403EC781D40E433206E67AA26B7B76
3.12,Figure 3.12. Data collection and parsing pipeline.,image12.png,rId55,608,609,1,108681,9F292F8778C58811DE6AE3D18DC1C86AAE32896A2E82B8163258BD215945052C,EB018BDF1100E67A3C40890A1B6C89E375403EC781D40E433206E67AA26B7B76
3.13,Figure 3.13. Like-for-like benchmarking model.,image15.png,rId58,652,653,1,1173501,36D0EE8A9DF45FC8A0F092B2ABFBC017A5E342C1286745A8829DE44FD5D31E27,EB018BDF1100E67A3C40890A1B6C89E375403EC781D40E433206E67AA26B7B76
3.14,Figure 3.14. Benchmark-time versus current as-built evidence classification and the resulting claim boundaries.,image17.png,rId60,673,674,1,87215,35285BA5A5CC99A75F98B368A2A489B15D9099F4BC31DD8632129FDE6A51EFA3,EB018BDF1100E67A3C40890A1B6C89E375403EC781D40E433206E67AA26B7B76
4.1,Figure 4.1. Median p95 latency (ms) by platform and scenario. Row order places the four traditional configurations before the three managed container-based platforms. This figure visualises the median p95 values recorded in Table 4.2.,image18.png,rId67,711,712,1,295913,EF8A3082BD774851A7F6CDD38057A2BC06E43D36A75C54E70EC9D8DC30E85F1D,EB018BDF1100E67A3C40890A1B6C89E375403EC781D40E433206E67AA26B7B76
