Question / hypothesis,Primary evidence,Evidence-bounded verdict,Caveat
RQ1: Latency,Table 4.2; Figures 4.1–4.2 and 4.11; Table 4.8,Observed p50/p95 leadership and tail inflation rotate by scenario; no universal latency winner.,End-to-end deployment outcome; p99/p50 is the median of run-level ratios and p99 is interpreted with timeout-boundary-flag counts.
RQ2: Request delivery and callback-qualified goodput,Table 4.3; Figure 4.4; available retained dropped-iteration diagnostics,"Actual rate, callback-qualified goodput and request-failure rate must be interpreted together; Scenario C iteration and HTTP-request rates differ.",Available delivery diagnostics do not prove that every scheduled iteration was delivered.
RQ3: Application-boundary request reliability,Table 4.3; Figure 4.5; Table 4.8,Observed request-failure evidence differs across tested configurations and scenarios; outcomes are callback-defined at the application boundary.,"Callback rule and complete end-to-end path apply; no long-term availability, dependability or internal failure mechanism is inferred."
RQ4: Responsiveness-oriented user experience,Table 4.3; Figure 4.6; Section 4.6 diagnostic,Cell medians and run-level distributions differ across configurations and scenarios; all reported cell medians are above the exploratory 0.85 reference.,"T = 500 ms, F = 2,000 ms and 0.85 are author-defined; the reference is not a validated pass/fail boundary and Apdex-p99 association is not independent evidence."
RQ5a: Burst-response behaviour,"Tables 4.3, 4.5 and 4.6; Figures 4.8–4.9; available retained delivery diagnostics","Burst response is heterogeneous; ACA has the lowest observed Scenario-D median p95, while peak maxima remain extreme diagnostics rather than scaling-mechanism evidence.","Warm-up/burst evidence is descriptive; no provider scaler, lifecycle or resilience mechanism is established."
RQ5b: Scoped resource evidence,Table 4.11,No sustained application-container CPU or memory-cap pressure is visible in the retained Linux-only summaries.,"No seven-platform resource comparison; host, database, storage, network and ingress bottlenecks remain unmeasured."
RQ6: Conditional modelled cost,Table 4.12,Fly.io has the lowest modelled USD per 1M callback-qualified responses under the stated warm-cost inputs.,"Conditional warm-state model; not a current invoice, idle-cost estimate, total-cost-of-ownership analysis or universal ranking."
H1: Apache lowest C latency,"Tables 4.2, 4.14 and 4.15; complete controlled 21-pair Scenario C output",Not supported.,Apache C tails include timeout-boundary-flagged observations; focused comparisons do not replace the complete 21-pair Scenario C output.
H2: managed first-request-after-idle delay,Table 4.7; Figure 4.8; controlled raw paired-probe output,Descriptively supported: all 14 valid pairs have a slower first request after idle than the immediate warm repeat.,Supplementary five-attempt probe per platform; lightweight endpoint; no verified scale-to-zero/lifecycle state.
H3: lower modelled cost per callback-qualified response,Table 4.12,"Supported under the final controlling rule (at least one managed platform below every VM-hosted configuration): Fly.io (0.231) and Koyeb (0.457) fall below every VM-hosted configuration. Descriptively, Azure Container Apps (3.225) exceeds the three Linux VM configurations (1.951–2.094).",Not a current invoice or total-cost-of-ownership finding.
H4: burst increases callback-defined request-failure rate,Tables 4.3 and 4.6; platform-stratified scenario evidence,Not supported as a consistent cross-platform claim.,"No aggregate paired, randomisation, or cross-scenario inferential test is claimed."
