Figure,Current_caption,Current_role,Retained_source_or_carrier,Provenance_note
4.1,Relative p95 latency gap between provider-managed and self-managed paths.,Current document figure,data/canonical/master_runs.csv; current cell-level p95 summaries; results/current-thesis/tables/,Descriptive current-document rendering; historical wrapper figure numbers are not renamed.
4.2,Callback-qualified goodput attainment as a percentage of the nominal offered rate.,Current document figure,data/canonical/master_runs.csv; benchmark/k6-scenarios/; configuration/SCENARIO_AUTHORITY_V366.md,Interpret nominal rate with Scenario-C request/iteration and Scenario-D staged-rate semantics.
4.3,Relative callback-qualified goodput gap between provider-managed and self-managed paths.,Current document figure,analysis/v367_release_corrections.py; results/current-thesis/v367/v367_figure4_3_goodput_gap.csv; data/canonical/master_runs.csv,Same family contrast; v367 rendering at 450×270 pt with minimum 10.5 pt labels; vector and raster assets in results/current-thesis/v367/.
4.4,Temporal diagnostics: warm-up sensitivity and post-idle first-request latency contrast.,Current document two-panel figure,data/supplementary/warmup_transient_v365_corrected.csv; data/supplementary/coldstart_raw.csv,Supplementary/descriptive evidence; post-idle probe does not prove provider lifecycle state.
4.5,Scenario D burst-phase p95 latency relative to baseline.,Current document figure,data/supplementary/timeseries_burst_recovery.csv,Phase-level descriptive carrier; not pooled request-level inference.
4.6,Median p95 latency with 95% percentile-bootstrap intervals.,Current document figure,"data/canonical/master_runs.csv; final 28-cell p95 percentile-bootstrap carrier (10000 resamples, deterministic seed schedule)",Current document-finalisation raster regenerated from the controlling percentile-bootstrap convention; not the historical wrapper raster gate.
4.7,Conditional warm-cost versus scenario-specific median p95 latency.,Current document figure,data/canonical/master_runs.csv; conditional cost assumptions/model documented in thesis/Table 4.12,One modelled cost per platform is repeated for comparison across scenario-specific p95 medians; costs are not four independent observations.
4.8a,Six-panel scenario-specific metric profile across the 28 benchmark cells. (panel a),Current document continued panel,data/canonical/master_runs.csv; current 28-cell diagnostic/rank carrier,Descriptive magnitude/rank profile; no composite overall ranking.
4.8b,Six-panel scenario-specific metric profile across the 28 benchmark cells. (panel b),Current document continued panel,data/canonical/master_runs.csv; current 28-cell diagnostic/rank carrier,Descriptive magnitude/rank profile; no composite overall ranking.
4.8c,Six-panel scenario-specific metric profile across the 28 benchmark cells. (panel c),Current document continued panel,data/canonical/master_runs.csv; current 28-cell diagnostic/rank carrier,Descriptive magnitude/rank profile; no composite overall ranking.
4.8d,Six-panel scenario-specific metric profile across the 28 benchmark cells. (panel d),Current document continued panel,data/canonical/master_runs.csv; current 28-cell diagnostic/rank carrier,Descriptive magnitude/rank profile; no composite overall ranking.
4.8e,Six-panel scenario-specific metric profile across the 28 benchmark cells. (panel e),Current document continued panel,data/canonical/master_runs.csv; current 28-cell diagnostic/rank carrier,Descriptive magnitude/rank profile; no composite overall ranking.
4.8f,Six-panel scenario-specific metric profile across the 28 benchmark cells. (panel f),Current document continued panel,data/canonical/master_runs.csv; current 28-cell diagnostic/rank carrier,Descriptive magnitude/rank profile; no composite overall ranking.
